nvar,r,d,het,iter,alpha,strategy,p1,p2,p3,p4,p5
83,0.1,0,0,10000,0.05,3,20.0672988681554,19.9755276843071,19.5064749668604,19.9755276843071,20.4751707963699
85,0.1,0,0,10000,0.05,1,55.8637568835407,24.9949010809708,11.2584132163981,5.5782174179074,2.30471140118295
85,0.1,0,0,10000,0.05,2,55.8637568835407,24.9949010809708,11.2584132163981,5.5782174179074,2.30471140118295
85,0.1,0,0,10000,0.05,3,19.0801550071385,20.2733020599633,19.8449928615134,20.3344890883133,20.4670609830716
87,0.1,0,0,10000,0.05,1,56.3508270369614,24.5660608535838,12.0379824382275,4.78864610986318,2.2564835613641
87,0.1,0,0,10000,0.05,2,56.3508270369614,24.5660608535838,12.0379824382275,4.78864610986318,2.2564835613641
87,0.1,0,0,10000,0.05,3,19.2668981008781,19.134163773739,20.2879313865632,20.5227690422708,20.7882376965489
89,0.1,0,0,10000,0.05,1,58.0993080993081,24.8168498168498,10.4599104599105,4.66015466015466,1.96377696377696
89,0.1,0,0,10000,0.05,2,58.0993080993081,24.8168498168498,10.4599104599105,4.66015466015466,1.96377696377696
89,0.1,0,0,10000,0.05,3,19.3325193325193,19.7496947496948,20.3093203093203,20.1668701668702,20.4415954415954
91,0.1,0,0,10000,0.05,1,58.3883751651255,24.316634488365,10.6188395488263,4.51173661213291,2.16441418555025
91,0.1,0,0,10000,0.05,2,58.3883751651255,24.316634488365,10.6188395488263,4.51173661213291,2.16441418555025
91,0.1,0,0,10000,0.05,3,19.8150594451783,19.3171425668123,20.5365308403618,20.089421806727,20.2418453409206
93,0.1,0,0,10000,0.05,1,58.5457499746116,24.5760129988829,10.3381740631664,4.64100741342541,1.89905554991368
93,0.1,0,0,10000,0.05,2,58.5457499746116,24.5760129988829,10.3381740631664,4.64100741342541,1.89905554991368
93,0.1,0,0,10000,0.05,3,18.807758708236,19.914694830913,20.0365593581802,20.2802884127145,20.9606986899563
95,0.1,0,0,10000,0.05,1,58.8515292687867,24.1138343123354,10.674498683411,4.52704071298359,1.83309702248329
95,0.1,0,0,10000,0.05,2,58.8515292687867,24.1138343123354,10.674498683411,4.52704071298359,1.83309702248329
95,0.1,0,0,10000,0.05,3,20.0324083451489,19.657686854365,20.3564917966376,20.0020255215718,19.9513874822767
97,0.1,0,0,10000,0.05,1,59.9392405063291,23.8582278481013,9.96455696202532,4.59746835443038,1.64050632911392
97,0.1,0,0,10000,0.05,2,59.9392405063291,23.8582278481013,9.96455696202532,4.59746835443038,1.64050632911392
97,0.1,0,0,10000,0.05,3,18.8354430379747,19.5240506329114,19.9291139240506,20.9518987341772,20.7594936708861
29,0,0,0,10000,0.05,1,32.8182294394971,24.9476165531692,18.9889994761655,12.6375065479309,10.6076479832373
29,0,0,0,10000,0.05,2,32.8182294394971,24.9476165531692,18.9889994761655,12.6375065479309,10.6076479832373
29,0,0,0,10000,0.05,3,19.8271346254584,20.7700366684128,19.9711891042431,18.9497118910424,20.4819277108434
99,0.1,0,0,10000,0.05,1,60.1903411967197,24.1672572643515,9.81067125645439,4.21180520400931,1.61992507846512
99,0.1,0,0,10000,0.05,2,60.1903411967197,24.1672572643515,9.81067125645439,4.21180520400931,1.61992507846512
99,0.1,0,0,10000,0.05,3,19.5403462589855,20.2085653538524,19.5707198542067,20.3806823934393,20.299686139516
101,0.1,0,0,10000,0.05,1,60.9068010075567,24.2216624685139,9.4911838790932,3.83879093198992,1.54156171284635
101,0.1,0,0,10000,0.05,2,60.9068010075567,24.2216624685139,9.4911838790932,3.83879093198992,1.54156171284635
101,0.1,0,0,10000,0.05,3,19.2745591939547,19.7581863979849,19.9496221662469,20.5340050377834,20.4836272040302
103,0.1,0,0,10000,0.05,1,63.4070037339792,22.6662629932385,9.06246846301342,3.44131597537592,1.42294883439298
103,0.1,0,0,10000,0.05,2,63.4070037339792,22.6662629932385,9.06246846301342,3.44131597537592,1.42294883439298
103,0.1,0,0,10000,0.05,3,19.5781612675346,19.6891714602886,19.9111918457968,20.2139469169442,20.6075285094359
105,0.1,0,0,10000,0.05,1,62.5264430341493,23.179208220006,9.66052180920721,3.58617910748464,1.04764782915282
105,0.1,0,0,10000,0.05,2,62.5264430341493,23.179208220006,9.66052180920721,3.58617910748464,1.04764782915282
105,0.1,0,0,10000,0.05,3,19.7441321648031,19.7542057016218,19.8448675329908,21.1544273194319,19.5023672811524
107,0.1,0,0,10000,0.05,1,63.5235982250908,23.2855990318677,8.72327551432029,3.22710770471965,1.24041952400161
107,0.1,0,0,10000,0.05,2,63.5235982250908,23.2855990318677,8.72327551432029,3.22710770471965,1.24041952400161
107,0.1,0,0,10000,0.05,3,18.9693424768052,19.7761194029851,20.824929407019,19.6853569987898,20.744251714401
109,0.1,0,0,10000,0.05,1,63.354474982382,23.3464210208396,8.83922279271116,3.28198932850096,1.17789187556629
109,0.1,0,0,10000,0.05,2,63.354474982382,23.3464210208396,8.83922279271116,3.28198932850096,1.17789187556629
109,0.1,0,0,10000,0.05,3,19.4905869324474,20.1349038558341,19.6315312594382,20.265780730897,20.4771972213833
111,0.1,0,0,10000,0.05,1,64.7691843507996,22.3674947199035,8.42803982701398,3.23845921753998,1.19682188474304
111,0.1,0,0,10000,0.05,2,64.7691843507996,22.3674947199035,8.42803982701398,3.23845921753998,1.19682188474304
111,0.1,0,0,10000,0.05,3,19.0888061953133,20.1850548124309,20.0341949109927,20.0140802574676,20.6778638237956
113,0.1,0,0,10000,0.05,1,64.439308681672,22.9903536977492,8.51085209003215,3.08480707395498,0.97467845659164
113,0.1,0,0,10000,0.05,2,64.439308681672,22.9903536977492,8.51085209003215,3.08480707395498,0.97467845659164
113,0.1,0,0,10000,0.05,3,19.0916398713826,20.0261254019293,20.5586816720257,20.1366559485531,20.1868971061093
115,0.1,0,0,10000,0.05,1,64.550850015089,23.0057338295946,8.07765818328136,3.09827985112162,1.26747812091339
115,0.1,0,0,10000,0.05,2,64.550850015089,23.0057338295946,8.07765818328136,3.09827985112162,1.26747812091339
115,0.1,0,0,10000,0.05,3,18.5896791067297,20.2192938336183,20.2092344834524,20.2394125339503,20.7423800422493
117,0.1,0,0,10000,0.05,1,66.589676641896,21.6308495681864,8.02369953805985,2.66117694316128,1.09459730869653
117,0.1,0,0,10000,0.05,2,66.589676641896,21.6308495681864,8.02369953805985,2.66117694316128,1.09459730869653
117,0.1,0,0,10000,0.05,3,19.4215705965053,19.8835107451295,19.5420767222334,20.727053625226,20.4257883109058
31,0,0,0,10000,0.05,1,33.4763406940063,24.6309148264984,19.0283911671924,13.5015772870662,9.36277602523659
31,0,0,0,10000,0.05,2,33.4763406940063,24.6309148264984,19.0283911671924,13.5015772870662,9.36277602523659
31,0,0,0,10000,0.05,3,19.8738170347003,19.7350157728707,20.2397476340694,20.7066246056782,19.4447949526814
119,0.1,0,0,10000,0.05,1,65.862727364084,22.8318761933474,7.61732489197066,2.77359059391016,0.91448095668777
119,0.1,0,0,10000,0.05,2,65.862727364084,22.8318761933474,7.61732489197066,2.77359059391016,0.91448095668777
119,0.1,0,0,10000,0.05,3,19.0634107124912,19.9979901517435,19.977891669179,20.972766556125,19.9879409104613
121,0.1,0,0,10000,0.05,1,66.5729208517477,21.6653274407393,8.01526717557252,2.76215347529128,0.984331056649257
121,0.1,0,0,10000,0.05,2,66.5729208517477,21.6653274407393,8.01526717557252,2.76215347529128,0.984331056649257
121,0.1,0,0,10000,0.05,3,19.1141020490157,19.6866211329851,19.8573724387304,20.8216151064685,20.5202892728003
123,0.1,0,0,10000,0.05,1,67.5401606425703,21.6064257028112,7.63052208835341,2.36947791164659,0.853413654618474
123,0.1,0,0,10000,0.05,2,67.5401606425703,21.6064257028112,7.63052208835341,2.36947791164659,0.853413654618474
