prop_Hacker,prop_H1,nmin,nmax,stepsize,d,het,p1,p2,p3,p4,p5,k_sig,k
0.75,0,8,1063,5,0,0,0.0447852760736196,0.0861963190184049,0.128220858895706,0.250613496932515,0.490184049079755,3260,10000
1,0,8,1063,5,0,0,0.0369928400954654,0.0785202863961814,0.127684964200477,0.249880668257757,0.506921241050119,4190,10000
0.1,0,22,1063,5,0,0,0.104294478527607,0.136196319018405,0.152147239263804,0.225766871165644,0.38159509202454,815,10000
0.25,0,22,1063,5,0,0,0.0838803792851933,0.0962800875273523,0.134208606856309,0.219547775346462,0.466083150984683,1371,10000
0.5,0,22,1063,5,0,0,0.0508474576271187,0.0870998116760829,0.114406779661017,0.225047080979284,0.522598870056497,2124,10000
0.75,0,22,1063,5,0,0,0.043155765340526,0.0654079568442347,0.116992582602832,0.237693863789616,0.536749831422792,2966,10000
1,0,22,1063,5,0,0,0.0343291404612159,0.0558176100628931,0.111111111111111,0.238731656184486,0.560010482180294,3816,10000
0.1,0,50,1063,5,0,0,0.124384236453202,0.131773399014778,0.153940886699507,0.230295566502463,0.359605911330049,812,10000
0.25,0,50,1063,5,0,0,0.0724054706355591,0.0973451327433628,0.128720836685438,0.242960579243765,0.458567980691875,1243,10000
0.5,0,50,1063,5,0,0,0.0386652542372881,0.0656779661016949,0.116525423728814,0.240995762711864,0.538135593220339,1888,10000
0.75,0,50,1063,5,0,0,0.0371775417298938,0.0508345978755691,0.101669195751138,0.240895295902883,0.569423368740516,2636,10000
1,0,50,1063,5,0,0,0.0279658522225493,0.0423903444215484,0.0924345010303209,0.249926405652046,0.587282896673536,3397,10000
0.1,0,177,1063,5,0,0,0.140845070422535,0.142253521126761,0.154929577464789,0.197183098591549,0.364788732394366,710,10000
0.25,0,177,1063,5,0,0,0.108980827447023,0.0988900100908173,0.114026236125126,0.185671039354188,0.492431886982846,991,10000
0.5,0,177,1063,5,0,0,0.0717213114754098,0.064207650273224,0.0894808743169399,0.182377049180328,0.592213114754098,1464,10000
0.75,0,177,1063,5,0,0,0.053998981151299,0.04381049414162,0.0713194090677534,0.200203769740194,0.630667345899134,1963,10000
1,0,177,1063,5,0,0,0.044835868694956,0.0356285028022418,0.0660528422738191,0.196557245796637,0.656925540432346,2498,10000
0.1,0,444,1063,5,0,0,0.136217948717949,0.158653846153846,0.161858974358974,0.181089743589744,0.362179487179487,624,10000
0.25,0,444,1063,5,0,0,0.121654501216545,0.1338199513382,0.135036496350365,0.159367396593674,0.450121654501217,822,10000
0.5,0,444,1063,5,0,0,0.0783242258652095,0.0965391621129326,0.112932604735883,0.156648451730419,0.555555555555556,1098,10000
0.75,0,444,1063,5,0,0,0.0661921708185053,0.0754448398576512,0.0747330960854093,0.150177935943061,0.633451957295374,1405,10000
1,0,444,1063,5,0,0,0.0616637579988365,0.0546829552065154,0.0645724258289703,0.141942990110529,0.677137870855148,1719,10000
0.1,0,8,22,10,0,0,0.181657848324515,0.194003527336861,0.232804232804233,0.204585537918871,0.18694885361552,567,10000
0.25,0,8,22,10,0,0,0.178913738019169,0.230031948881789,0.177316293929712,0.194888178913738,0.218849840255591,626,10000
0.5,0,8,22,10,0,0,0.172602739726027,0.197260273972603,0.187671232876712,0.205479452054795,0.236986301369863,730,10000
